,Energy (kcal/mol)
3qts,-13.08873
3qtu,-132.59574
3qtv,80.56883
3qtw,-23.59086
3qtx,-52.83437
3qtz,-74.15658
3qu0,-67.58661
3que,137.44634
3qup,171.48774
3qvu,38.27792
3qvv,16.78106
3qw5,-181.96706
3qw6,-52.29228
3qw7,-167.71744
3qw8,-84.95438
3qwc,75.07807
3qx5,86.13565
3qx8,-643.64989
3qx9,114.33182
3qxc,95.18875
3qxd,144.83414
3qxh,36.62534
3qxm,89.02406
3qxp,-63.97419
3qxt,112.57599
3qxv,120.25495
3qyy,-522.37593
3qzq,-30.06644
3qzt,-298.78534
3qzv,78.73234
3r00,47.93793
3r01,66.3652
3r02,20.12957
3r04,75.56946
3r0h,-167.72904
3r0i,89.53177
3r0t,28.30831
3r0w,114.91199
3r0y,160.04652
3r16,-46.5277
3r17,-48.05263
3r1v,36.00166
3r21,-57.08647
3r22,-91.06912
3r24,85.44434
3r2a,57.23664
3r2b,22.96612
3r2f,120.66958
3r2y,61.524
3r42,69.76981
3r4m,-89.77078
3r4n,-63.52186
3r4o,-36.10596
3r4p,-15.23101
3r5j,158.84717
3r5m,51.37864
3r5n,62.60501
3r5t,38.46557
3r6c,201.70061
3r6g,164.0264
3r6t,69.96076
3r6u,39.07034
3r7b,152.28203
3r7n,150.78766
3r7o,-10.88699
3r7q,99.25686
3r7r,89.20359
3r88,49.64184
3r8i,90.99026
3r8u,-32.95086
3r8v,-12.6478
3r8z,-55.00663
3r91,134.83947
3r92,136.4578
3r93,195.60592
3r9d,-113.71717
3r9h,-91.03534
3r9n,-12.06173
3r9o,-126.91352
3rah,-29.47983
3rak,-93.06009
3ral,-91.39295
3rbm,49.61482
3rbq,168.62345
3rbu,269.42373
3rcd,28.99294
3rcj,60.16949
3rde,27.25011
3rdh,-111.78228
3rdo,-29.99566
3rdq,-57.36733
3rdv,5.91796
3re4,62.49112
3rey,29.8182
3rf4,-53.56422
3rf5,51.44941
3rg2,-20.4099
3rhk,34.70111
3rhx,-36.4895
3ri1,-36.3705
3rik,134.97493
3ril,109.78657
3rin,57.70652
3rj7,
3rjc,2.30915
3rjm,74.92965
3rjw,15.79902
3rk5,-5.07688
3rk7,-36.24124
3rk9,-53.45355
3rkb,-25.13615
3rkz,137.52529
3rl3,-228.9387
3rl4,-229.14317
3rl7,185.05247
3rl8,155.96953
3rlb,-24.01438
3rlp,-63.99997
3rlq,44.6825
3rlr,47.62218
3rm4,34.66066
3rm8,71.24769
3rm9,-81.04661
3rme,88.467
3rmf,-51.93331
3rni,-65.32206
3ro0,
3ro4,78.07997
3roc,46.87311
3rpr,10.50629
3rpv,-76.53485
3rpy,-143.14602
3rq7,-4.82053
3rqe,200.92962
3rqf,-159.75337
3rqg,-124.42388
3rqw,25.48018
3rr4,-133.75811
3rsb,-216.29593
3rse,49.82103
3rsr,119.69739
3rsv,0.27024
3rsx,-12.16778
3rt4,10.62261
3rt6,-62.17029
3rt8,-63.92152
3rtf,-64.65553
3rth,17.28598
3rti,4.30033
3rtm,-18.77088
3rtn,-7.68254
3rtp,27.8415
3rtx,428.44525
3ru1,-38.31462
3rul,387.26734
3rum,383.84062
3run,320.31095
3rup,32.84441
3rux,-191.37465
3rv3,29.55638
3rv4,53.3103
3rv6,149.09704
3rv7,116.70281
3rv8,166.85609
3rv9,129.7052
3rvg,310.24446
3rvi,-9.93675
3rw9,97.66113
3rwc,59.86658
3rwd,121.08901
3rwe,173.09377
3rwf,148.0943
3rwg,118.56602
3rwh,-29.71462
3rwi,125.08703
3rwj,88.29056
3rwp,115.72479
3rwq,77.97798
3rx5,224.54039
3rx7,314.18566
3rx8,133.14589
3rxa,12.17643
3rxb,-267.21662
3rxd,13.8527
3rxe,-4.53756
3rxf,3.59943
3rxg,7.63475
3rxh,1.73614
3rxi,25.87505
3rxj,-183.64593
3rxk,137.30514
3rxl,-13.33002
3rxm,12.06135
3rxo,32.14324
3rxp,2.26117
3ry8,238.0882
3ryj,-11.70459
3ryv,-61.20212
3ryw,324.45132
3ryx,18.09913
3ryy,-61.96235
3ryz,11.66556
3rz0,-48.88494
3rz1,14.71744
3rz3,134.57114
3rz5,-59.22166
3rz7,19.67862
3rz8,-59.61809
3rz9,125.24048
3rzb,-68.7175
3rzi,8.06047
3s00,-42.06716
3s0b,56.10907
3s0d,30.98358
3s0e,34.20406
3s0j,117.47276
3s0n,22.12245
3s0o,-25.80437
3s1g,-70.87675
3s1h,-88.335
3s1y,-21.53466
3s22,-156.63039
3s2a,141.67862
3s2o,-38.79827
3s2p,-5.47572
3s2v,-74.67876
3s3i,66.7691
3s3k,30.40113
3s3m,42.86263
3s3n,42.71511
3s3o,46.55315
3s3q,33.72383
3s3r,71.31099
3s3v,-73.81519
3s43,-8.25578
3s45,-11.69873
3s4q,29.76274
3s53,-21.02208
3s54,-19.09991
3s56,142.12156
3s5y,97.89204
3s68,91.68866
3s6t,89.90533
3s71,-36.55772
3s72,-38.269
3s73,2.79683
3s74,-54.75998
3s75,-42.84405
3s76,-34.10754
3s77,-2.4532
3s78,-61.08311
3s7a,65.09654
3s7b,153.72234
3s7f,156.91202
3s7l,-60.65111
3s7m,-42.65613
3s8l,-23.5699
3s8n,-8.98165
3s8o,-12.74083
3s8x,-104.94855
3s9e,-41.70331
3s9i,84.3111
3s9t,-85.45579
3s9y,-65.81181
3s9z,113.62579
3sad,109.57194
3sap,-48.91028
3sax,-82.28264
3saz,98.113
3sb0,73.75065
3sbh,-54.75432
3sbi,-57.73403
3sc1,49.71803
3sd5,-20.29372
3sdg,15.67269
3sdi,26.30687
3sdk,58.91011
3sfc,170.38927
3sff,101.28315
3sfg,19.1685
3sfh,53.51424
3sfi,31.91262
3sgt,70.16826
3sgv,74.38861
3sgx,186.20737
3sh0,30.73208
3sh1,237.92422
3sha,46.50336
3shb,-82.52506
3shc,64.22011
3shj,79.07523
3shv,5.38433
3shy,35.85448
3shz,33.77261
3si3,83.30603
3si4,91.34735
3sie,34.95595
3sio,221.34032
3sjf,60.70055
3sji,-56.88413
3sjo,-60.88724
3sjt,
3sk2,134.80319
3ska,35.98155
3skc,31.35884
3ske,-21.32199
3skf,108.19769
3skg,129.45439
3skh,73.66342
3skk,
3sl0,
3sl1,
3sl4,-36.92495
3sl5,-6.81909
3sl8,15.56775
3slz,65.40655
3sm0,-43.11094
3sm1,7.15627
3sm2,-7.79431
3smq,-49.75097
3sn7,60.36535
3sn8,77.23559
3sna,44.15293
3snb,46.51006
3snc,23.38489
3snd,14.42885
3sni,65.33624
3snl,87.35666
3so6,75.67886
3so9,-1.84347
3soq,-27.7023
3sou,-184.26528
3sov,-129.82917
3sow,-91.82757
3spf,217.93392
3spk,94.66036
3sqq,-58.55412
3sr4,86.13621
3srb,-30.45488
3src,74.28238
3srg,-0.72792
3srv,-65.91346
3st5,27.08362
3st6,133.08986
3std,164.28188
3stj,63.32868
3str,-36.5349
3su0,-12.55902
3su1,-12.93725
3su2,-12.15828
3su3,-5.02809
3su4,-6.87049
3su5,-6.75077
3su6,-88.99138
3sud,49.26506
3sue,55.49568
3suf,50.61413
3sug,43.68914
3sur,86.52611
3sus,75.96811
3sut,74.10128
3suu,64.23501
3suv,67.60906
3suw,83.82496
3sv2,66.02299
3sv6,202.35452
3sv7,188.86451
3sv8,202.04004
3sv9,202.53176
3svj,-95.42873
3svv,-35.33282
3sw2,16.13374
3sw8,38.13997
3sw9,-49.37184
3sww,69.94961
3sx4,109.75421
3sx9,21.45998
3sxf,19.2038
3sxu,11.06707
3sym,64.51243
3syr,33.14785
3sz1,29.64586
3sz9,37.32095
3szb,35.96242
3szm,-35.17543
3t01,422.99324
3t03,-8.00392
3t07,146.3741
3t08,103.01336
3t09,95.04574
3t0b,106.67952
3t0d,95.03713
3t0l,82.88424
3t0m,95.3813
3t0t,77.49699
3t0w,103.84364
3t0x,115.99233
3t19,70.53405
3t1a,69.88934
3t1l,89.39806
3t1m,124.49906
3t1n,23.7584
3t2c,-60.88827
3t2p,102.98587
3t2q,97.01122
3t2t,94.60035
3t2v,6.44955
3t2w,-29.97099
3t3c,-19.33567
3t3d,5.48302
3t3e,33.70712
3t3g,29.9627
3t3h,30.33488
3t3i,-12.15751
3t3u,23.25651
3t3v,21.24998
3t3y,143.49723
3t4h,262.0802
3t4n,35.13694
3t4p,28.15732
3t4v,255.50979
3t5i,91.75922
3t5u,40.17538
3t60,14.82652
3t64,-31.58127
3t6b,131.05442
3t6j,136.95405
3t6r,-114.25877
3t6y,-49.6383
3t70,-21.20051
3t7g,222.57796
3t82,-114.96524
3t83,-143.06663
3t84,-87.27064
3t85,-116.87211
3t8s,400.41387
3t8v,151.11522
3t8w,247.06125
3t9t,23.86232
3ta0,135.61648
3ta1,44.26563
3tam,61.71671
3tao,-44.35909
3tay,184.00662
3tb6,64.8114
3tc5,93.95446
3tcg,-3.44791
3tcp,-20.5129
3tct,31.36127
3tcy,11.68722
3td4,-16.88633
3tdc,-41.91571
3tdh,-15.48984
3tdj,-137.55725
3tdu,48.98207
3tdz,
3te5,-9.15578
3tf6,4.02503
3tf7,198.54516
3tfk,131.79703
3tfn,93.95016
3tfp,46.85081
3tfu,-10.07756
3tfv,69.62195
3tg5,147.49628
3tge,198.34696
3tgs,57.07563
3th0,616.89975
3th8,61.53029
3th9,0.02576
3thb,7.91905
3thd,109.96966
3ti1,42.86967
3ti3,-91.88449
3ti4,-104.65021
3ti5,-96.70952
3ti6,-42.65653
3ti8,-92.21429
3tia,-91.46747
3tib,-95.83896
3tic,-100.33963
3tif,43.75709
3tiw,-588.83659
3tiy,61.81433
3tiz,24.83881
3tjc,61.52016
3tjd,-47.19924
3tjh,208.125
3tjm,22.99398
3tk2,11.73492
3tkh,189.20501
3tki,61.75157
3tkm,104.41652
3tku,25.16352
3tkw,-18.83795
3tkz,144.59386
3tl0,62.52492
3tl5,28.30132
3tlh,25.11517
3tll,-151.50662
3tmk,-39.57723
3tn8,19.94056
3tne,-29.40863
3tnh,20.2581
3tpp,38.04679
3tpr,39.90121
3tpu,288.99076
3tpx,-90.71155
3ts4,60.53965
3tsd,-30.00042
3tsk,16.1362
3tsz,141.251
3tt0,43.43048
3tt4,-4.77986
3tti,-33.7395
3ttj,16.95399
3ttm,53.32265
3ttn,155.89838
3ttp,-20.53898
3ttz,-28.75441
3tu1,37.30939
3tu7,-172.42857
3tu9,89.07393
3tv4,-39.19351
3tv5,104.56171
3tv6,-7.87231
3tv7,-52.46016
3tv8,94.62774
3tvc,32.28747
3tvl,278.91738
3tvw,102.15789
3tvx,-117.63691
3twd,43.66867
3twj,-77.43073
3twp,12.80319
3twr,-224.03145
3tws,-233.35645
3twu,-25.45285
3twv,-277.58064
3tww,-299.55551
3twx,-328.12865
3txo,35.58572
3ty0,14.47237
3tyq,106.20931
3tyv,-15.30328
3tz0,49.77861
3tz2,21.14802
3tz4,49.81788
3tza,28.24425
3tzd,294.20061
3tzm,39.2304
3u0d,4.01848
3u0p,-91.11377
3u0t,171.46645
3u10,-40.82994
3u15,-14.52763
3u18,459.08125
3u1i,-219.1864
3u1y,131.5578
3u2k,-108.32983
3u2q,154.3319
3u3f,184.88708
3u3u,43.11502
3u3z,72.91965
3u4h,-174.22562
3u4i,-164.34907
3u4o,42.78232
3u4r,-136.85496
3u4u,72.92207
3u4w,132.44193
3u51,85.00001
3u5j,92.50929
3u5l,120.19109
3u6a,149.52945
3u6h,92.94543
3u6i,136.46724
3u6j,95.86411
3u6w,83.71283
3u78,-57.95424
3u7k,52.65039
3u7l,20.08585
3u7m,-8.96971
3u7n,-50.72488
3u7s,-18.62623
3u81,79.3283
3u8d,21.46687
3u8h,70.36495
3u8j,72.14492
3u8k,92.61533
3u8l,101.68864
3u8m,69.29668
3u8n,99.51305
3u8w,57.89299
3u90,-41.14302
3u92,19.772
3u93,-46.16787
3u9c,27.6567
3u9n,155.2798
3u9q,5.25562
3ua8,35.17835
3ua9,95.70062
3ual,-72.28861
3uat,-531.64474
3ubd,100.25745
3ubx,167.10062
3ucj,-63.79643
3ud5,133.89888
3ud7,50.86029
3ud8,71.16859
3ud9,72.43973
3uda,108.14401
3udd,96.85834
3udh,14.36282
3udj,36.78672
3udk,40.24807
3udm,52.83328
3udn,69.33006
3udp,43.53938
3udq,75.48386
3udr,56.29237
3udv,-25.94486
3udy,65.81689
3ue4,297.34642
3uec,-334.88542
3ued,-341.92402
3uef,-109.89767
3ueo,784.36051
3ueu,4.98059
3uev,5.02398
3uew,4.61809
3uex,8.43338
3uf9,-23.38617
3ufa,47.4929
3ufl,78.3848
3ug2,104.16705
3ugc,180.39831
3uh2,67.28546
3uh4,7.32107
3uhm,26.91633
3ui2,-18.62082
3ui7,107.46654
3uib,62.18583
3uig,-339.18229
3uih,79.72987
3uii,-105.76589
3uij,78.82755
3uik,-117.25043
3uil,16.65951
3uix,5.35081
3uj9,-160.61568
3ujb,80.8647
3ujc,-160.6052
3ujd,-160.5095
3ukr,27.7648
3uli,89.74005
3umo,113.16925
3ump,111.4778
3umq,2.00182
3umw,168.7534
3umx,65.73202
3unj,-42.10762
3unk,-25.16907
3unn,219.26584
3unz,-19.34334
3uo4,-4.96507
3uo5,-33.07094
3uo6,-18.49309
3uo9,25.4138
3uod,-10.64707
3uoh,-21.04812
3uoj,-16.69367
3uok,20.10748
3uol,-42.62835
3up2,-24.79084
3up7,2.99215
3upf,298.44864
3uph,-16.5901
3upi,5.37454
3upk,-140.18739
3upv,158.34129
3upx,36.26364
3upy,20.65424
3upz,-15.42232
3uqf,20.36919
3uqg,-14.93113
3uqp,95.80148
3uqr,100.73378
3ur0,206.95333
3ur9,-57.69559
3uri,177.55882
3usn,-46.10991
3usx,15.47801
3ut5,178.92521
3utu,-18.0965
3uu1,39.45647
3uug,103.02361
3uuo,178.53018
3uvk,-57.50284
3uvl,-219.74744
3uvm,-303.66477
3uvn,-12.53736
3uvo,33.84445
3uvp,85.9676
3uvq,164.02311
3uvu,325.93396
3uvw,-51.65088
3uvx,45.23337
3uw4,120.43238
3uw5,106.62081
3uw9,51.76622
3uwk,-9.68715
3uwl,45.01589
3uwo,-23.90697
3ux0,-583.57558
3uxd,21.88807
3uxg,308.96864
3uxk,53.16973
3uxl,58.24118
3uxm,-66.8933
3uyr,132.49188
3uyt,-82.25839
3uz5,-10.20832
3uza,35.12922
3uzc,42.02115
3uzd,-58.88166
3uzj,19.45044
3uzp,-81.94131
3v01,104.52218
3v04,112.0426
3v0l,-76.45876
3v0p,-31.96707
3v1r,69.80452
3v2n,11.25069
3v2o,224.53626
3v2p,20.33752
3v2q,11.65401
3v2w,-175.7597
3v2x,238.92414
3v30,267.90515
3v31,298.63036
3v3b,6.38866
3v3l,110.7372
3v3m,125.89203
3v3q,83.47405
3v3v,48.37602
3v43,-65.91268
3v49,44.2882
3v4j,81.08645
3v4t,-137.67501
3v4v,119.23604
3v4x,48.41227
3v51,44.44805
3v5g,-250.70824
3v5j,161.66225
3v5l,76.03655
3v5p,16.6588
3v5q,15.19075
3v5t,43.37772
3v66,84.99613
3v6r,11.18217
3v6s,-16.22312
3v78,67.53031
3v7c,29.38567
3v7d,-281.9607
3v7s,-14.05214
3v7t,46.55712
3v7x,-4.61278
3v8s,-27.9617
3v8t,81.54316
3v8w,95.49145
3v9b,115.13645
3va4,73.60625
3vap,69.94792
3vb4,-20.68311
3vb5,-9.08023
3vb6,42.83659
3vb7,39.43255
3vbd,-8.10496
3vbg,-14.35555
3vbq,4.56983
3vbt,15.42695
3vbv,62.16699
3vbw,14.03498
3vbx,13.61786
3vby,71.73719
3vc4,-12.96596
3vd4,103.0592
3vd7,56.2243
3vd9,106.11881
3vdb,95.00172
3vdc,106.74996
3veh,81.49265
3veu,158.79825
3vf3,92.05428
3vf5,0.46722
3vf7,3.0945
3vf8,-38.74527
3vf9,71.24755
3vfa,2.45613
3vfb,2.3443
3vfj,483.49175
3vfq,-19.97965
3vg1,70.72767
3vgc,
3vh9,41.91113
3vha,-64.79031
3vhc,-75.47357
3vhd,-121.30259
3vhe,-10.79616
3vhk,74.94554
3vhu,79.36158
3vhv,140.1591
3vi2,39.16218
3vi5,47.30729
3vi7,100.3354
3vid,23.26215
3vjc,439.47101
3vje,436.04085
3vjk,312.40784
3vjl,246.82113
3vjm,324.42966
3vjs,
3vjt,
3vnt,74.5499
3vo3,-24.04888
3voz,7.42694
3vp1,7.41532
3vp2,-23.2422
3vp3,-23.51288
3vp4,-25.2527
3vqh,-4.81235
3vqs,60.71262
3vqu,1.24857
3vrt,99.01855
3vru,72.31802
3vrv,111.76003
3vrw,133.07028
3vry,24.94511
3vs3,225.4177
3vsw,135.73443
3vsx,136.09007
3vtb,116.04824
3vtc,117.49158
3vtd,122.05592
3vtr,340.11647
3vuc,275.83846
3vv6,-199.5759
3vv7,-61.42823
3vv8,-60.48963
3vva,77.07815
3vvy,67.9595
3vvz,89.21686
3vw0,9.75308
3vw1,103.52518
3vw2,119.78371
3vw6,77.42189
3vw7,12.45795
3vw9,80.48524
3vws,-6.71306
3vx3,38.61157
3vyd,124.27466
3vye,144.80373
3vyf,152.5503
3vzd,6.89279
3vzg,103.50455
3vzv,117.41098
3w07,-77.93261
3w0l,0.13351
3w1f,-11.45191
3w2o,50.71574
3w2p,29.23051
3w2q,115.00389
3w2r,-41.78657
3w2s,-37.16059
3w2t,78.89211
3w32,9.8066
3w33,20.40242
3w37,291.85536
3w54,67.51312
3w55,97.69339
3w5e,17.54365
3w5n,83.18987
3w5t,79.18883
3w69,152.89045
3w8o,
3w9k,7.9636
3w9r,3.39471
3wab,-75.80136
3wav,77.33264
3waw,49.40673
3wax,
3way,
3wb4,-174.37522
3wb5,-185.39315
3wbl,84.9326
3wc5,
3wc7,13.27355
3wcb,202.72979
3wcf,36.20068
3wcg,32.94852
3wch,203.55706
3wci,203.16023
3wcl,34.51069
3wd1,-197.3591
3wd2,-226.31121
3wd9,19.4609
3wdc,251.72712
3wdd,252.02114
3wde,251.72774
3wdz,204.4833
3we4,86.8033
3wf5,-27.39725
3wf6,-9.97958
3wf7,-47.81306
3wf8,-12.38172
3wf9,-11.91576
3wff,52.40788
3wfg,61.84193
3wgg,-33.51559
3wgw,77.55726
3wha,-171.68885
3whw,
3wi2,122.29327
3wi6,58.28973
3wig,-151.68146
3wix,234.17072
3wiy,176.70256
3wiz,183.31424
3wjw,-75.67186
3wk4,-46.62651
3wk5,-24.74413
3wk6,-24.73926
3wk7,16.4295
3wk8,1.12261
3wk9,-11.02263
3wka,-54.64505
3wkb,86.02787
3wkc,-3.50875
3wkd,88.49521
3wke,-20.45529
3wmb,-13.78328
3wmc,6.75203
3wnr,6.67216
3wns,-15.02357
3wnt,4.15907
3wp0,-231.14751
3wp1,-451.81984
3wpn,-34.70108
3wq5,166.41643
3wq6,108.20982
3wqh,81.69168
3wqm,513.38916
3wqv,777.30776
3wqw,785.49457
3ws8,112.18883
3ws9,84.03802
3wsy,-116.30469
3wt5,109.07353
3wt7,118.65587
3wth,-31.14037
3wti,-242.14902
3wtj,-35.64536
3wtk,-34.72639
3wtl,43.09275
3wtm,43.18806
3wtn,-7.85437
3wto,-8.0164
3wut,223.94393
3wuu,149.17555
3wuv,219.41414
3wv1,75.66297
3wv2,14.83547
3wv3,-19.54812
3wvm,3.71488
3wyj,1283.08879
3wyk,136.5421
3wyl,158.93682
3wym,163.0652
3wyx,40.67992
3wyy,64.84872
3wz6,50.06328
3wz7,59.91109
3wz8,19.75187
3wzj,34.82696
3wzk,78.04463
3wzn,-29.74671
3wzp,-140.91172
3wzq,-135.67742
3wzu,105.29803
3x00,-115.18442
3x1k,-87.89066
3zbf,23.45949
3zbx,149.08115
3zc5,79.41764
3zc6,87.55442
3zcl,6.53476
3zcw,94.91911
3zcz,36.86485
3zdg,-39.21593
3zdh,-0.52813
3zdv,71.60075
3zeb,56.31951
3zep,36.36914
3zev,-188.17133
3zh8,30.14476
3zha,143.8923
3zhf,-8.93168
3zhx,114.64755
3zhz,156.38114
3zi0,134.25551
3zi8,81.43538
3zim,125.89575
3zj6,83.7146
3zj8,95.31989
3zjc,-384.00633
3zjt,
3zju,
3zjv,
3zk6,-1.85165
3zke,163.79822
3zkf,-34.17043
3zki,-111.43832
3zlk,-91.55816
3zll,-43.79836
3zln,161.95054
3zlo,168.30115
3zlq,39.84264
3zlr,125.33785
3zls,22.35073
3zlv,2.57747
3zlw,1.43437
3zlx,18.90659
3zly,55.82946
3zm4,78.82531
3zm5,51.33355
3zm6,78.23034
3zm9,54.70955
3zmg,37.8015
3zmh,-39.54027
3zmi,-2.86804
3zmj,-40.12865
3zmm,70.67178
3zmp,316.94634
3zmq,355.28414
3zmt,-24.53495
3zmu,153.3852
3zmv,154.74945
3zmz,-40.11167
3zn0,-38.66082
3zn1,-30.98566
3znc,-30.2132
3znr,130.23459
3zns,91.83598
3zo1,-57.76397
3zo2,-43.2588
3zo4,-38.56843
3zos,252.72857
3zot,-3.32192
3zov,-110.64379
3zp9,
3zpq,115.97769
3zpr,88.21756
3zps,114.03998
3zpt,115.2544
3zpu,123.23731
3zq9,85.13747
3zqe,93.93889
3zqi,-52.93094
3zqt,44.84896
3zrc,56.18279
3zrk,5.40106
3zrl,28.66462
3zrm,38.76704
3zs0,-28.30932
3zs1,
3zso,-44.57321
3zsq,-73.5978
3zst,559.08288
3zsw,-56.83987
3zsx,-76.02169
3zsy,-71.86813
3zsz,-71.80386
3zt1,-73.74506
3zt2,88.36934
3zt3,76.25389
3zt4,88.17555
3ztc,66.62521
3ztd,57.27415
3ztx,20.69188
3zuk,9.73603
3zv7,-45.52702
3zvt,
3zvv,-14.00279
3zvw,
3zvy,-100.27332
3zw3,-87.94666
3zxe,-12.99704
3zxh,53.00122
3zxr,65.13986
3zxv,9.56224
3zxz,145.13776
3zy2,-17.55536
3zy5,-185.32414
3zya,87.18267
3zyb,98.50169
3zyf,151.94337
3zyh,93.02371
3zyr,454.77277
3zyu,56.0373
3zze,121.74838
3zzf,94.18591
3zzh,-187.89727
456c,68.13474
4a0j,-371.37225
4a16,62.33373
4a1w,-524.22092
4a22,40.45684
4a23,71.52654
4a2a,-119.04048
4a4c,253.98122
4a4e,-145.46962
4a4f,-152.99231
4a4g,-148.29479
4a4h,-144.60271
4a4l,37.58767
4a4o,47.83876
4a4q,145.36562
4a4v,49.26714
4a4w,90.88604
4a4x,71.94317
4a50,102.50096
4a51,133.84659
4a6b,157.96377
4a6c,154.6702
4a6l,44.47229
4a6s,123.20016
4a6v,80.74627
4a6w,109.39076
4a7b,90.16578
4a7c,56.33809
4a7i,-79.91022
4a7j,24.61386
4a95,45.88172
4a9c,1551.45804
4a9i,49.1146
4a9m,-25.77444
4a9n,7.01704
4a9r,31.07251
4a9s,22.40825
4a9t,22.95306
4a9u,25.66407
4aa0,162.52705
4aa1,76.06255
4aa2,29.42667
4aa4,128.37436
4aa5,142.63624
4aa7,23.0072
4aac,119.92979
4aaw,-40.00574
4ab8,21.96275
4ab9,11.55324
4aba,11.92332
4abb,7.9722
4abd,32.61261
4abe,29.58985
4abf,6.84899
4abg,147.32842
4abh,7.90591
4abi,-40.11383
4abj,-72.34384
4abk,-25.33393
4abu,53.083
4abv,55.84204
4ac3,-36.86147
4acc,107.33584
4acd,155.37563
4acf,110.85789
4acg,73.9686
4ach,131.27742
4aci,237.25618
4acm,95.45275
4acu,104.84823
4acx,12.54383
4ad2,122.91905
4ad3,180.96125
4ad6,-322.73966
4ael,94.56892
4af3,-24.12951
4afe,41.43168
4afg,119.63119
4afh,56.84473
4afj,34.00535
4aft,119.64121
4ag8,52.03386
4agc,59.64469
4agd,36.95289
4agl,5.84781
4agm,66.48358
4agn,62.44222
4ago,4.9529
4agp,88.9346
4agq,71.83601
4ah9,58.93222
4ahr,19.04384
4ahs,34.91725
4ahu,42.67392
4ahv,47.36353
4ai5,-29.95593
4ai8,11.69104
4aia,-29.95522
4aif,72.9356
4aig,92.37997
4aj1,-35.4118
4aj2,18.02127
4aj4,-6.62951
4aje,149.78805
4aji,71.77405
4ajk,-110.4431
4ajl,-101.7445
4ajn,-35.7997
4ajo,31.18351
4ajw,0.90727
4akn,75.00342
4al4,-33.05052
4alg,56.19376
4alu,18.79791
4alv,30.66838
4alw,213.955
4alx,50.61447
4aml,-8.78129
4amw,94.8065
4amx,128.17586
4amy,102.82017
4amz,23.62589
4an0,41.07049
4an1,-7.34849
4an2,118.44398
4an3,138.08694
4an9,98.56462
4anb,111.87239
4anm,49.06501
4anq,24.20064
4anu,97.12065
4anv,164.43743
4anw,71.98766
4anx,67.367
4aoc,122.72149
4aof,-11.13833
4aoi,147.97738
4aom,21.39982
4ap0,63.69027
4ap7,121.09764
4aph,-47.72952
4apo,172.6268
4app,50.24838
4apr,101.42395
4aq3,29.40512
4aq4,-24.57236
4aq6,6.09184
4aqc,102.21102
4aqh,-238.4824
4ara,89.54239
4arb,88.62173
4ark,64.0612
4aro,413.44636
4arw,-84.88643
4as9,129.0599
4asd,-1.55465
4ase,-7.58388
4asj,-72.14375
4ask,7.90693
4asy,-12.53639
4at3,-86.84861
4at4,-30.21969
4at5,-63.41206
4att,113.35517
4au7,76.03186
4au8,-44.18253
4aua,45.04732
4auj,116.74937
4auy,118.10959
4av0,116.02735
4av4,118.35251
4av5,134.76549
4avg,65.60205
4avh,99.76455
4avi,94.51674
4avj,142.98203
4avs,45.21383
4avt,140.3407
4avu,35.08675
4avw,17.48218
4aw5,51.26343
4aw8,158.19183
4awf,101.33949
4awg,109.5367
4awi,-13.08098
4awj,13.28823
4awk,97.06815
4awm,39.51256
4awo,75.39187
4awp,20.80215
4awq,29.41065
4ax9,-212.72976
4axa,105.01735
4axd,-97.84545
4axm,-66.28491
4ay5,-53.40577
4ay6,-148.07366
4ayp,185.30418
4ayq,70.37632
4ayr,-3.61931
4ayt,203.36066
4ayu,45.01626
4ayv,-203.14318
4ayw,-92.69832
4ayx,202.31732
4ayy,-207.71954
4az0,78.52124
4az2,-162.2335
4az3,111.83636
4az5,72.56041
4az6,86.00361
4aza,-218.15622
4azb,95.51178
4azc,71.5124
4aze,13.5705
4azf,13.3029
4azg,94.18176
4azi,88.4665
4azp,11.31873
4azt,111.22839
4azy,123.15149
4b00,70.19262
4b05,92.90742
4b0b,28.39459
4b0c,-12.09014
4b0g,155.5443
4b0j,22.94388
4b11,29.32258
4b12,58.41952
4b13,76.62179
4b14,50.72244
4b1c,59.71613
4b1d,64.25607
4b1j,-156.39854
4b2d,-3.41242
4b2i,27.64255
4b2l,43.92024
4b32,19.27905
4b33,30.42825
4b34,-22.78928
4b35,33.05595
4b3b,58.31366
4b3c,4.03634
4b3d,17.37507
4b3u,-16.66408
4b4g,-106.48917
4b4m,-74.32968
4b4n,190.69768
4b4q,456.65052
4b5b,-69.27856
4b5d,84.59043
4b5s,80.66511
4b5t,79.42017
4b5w,53.64133
4b60,68.50794
4b6c,302.99746
4b6e,14.28367
4b6f,36.31294
4b6o,103.63624
4b6p,95.31025
4b6q,99.63804
4b6r,105.19357
4b6s,94.95362
4b6u,-443.70892
4b70,-12.04423
4b71,40.66837
4b72,73.71459
4b73,8.0055
4b74,81.43225
4b76,36.48465
4b77,57.76363
4b78,99.472
4b7j,-35.87868
4b7n,-146.07382
4b7p,76.62782
4b7q,-105.12056
4b7r,-43.634
4b7z,5.86531
4b80,0.40619
4b81,7.36285
4b82,-38.50017
4b83,-21.37402
4b84,12.23396
4b85,-9.95288
4b8o,147.88838
4b8p,-13.4444
4b8y,116.16471
4b95,63.70982
4b9h,250.07937
4b9k,74.12554
4b9w,-168.36297
4b9z,319.19096
4ba3,-11.75754
4bae,-0.36197
4bah,5.11547
4bak,53.47889
4bam,64.59519
4ban,56.82285
4bao,55.54541
4baq,55.91619
4bb2,73.98414
